artifact_id,main_image,detail_image,has_pair,cluster
fig_284,fig_284.jpg,fig_284h.jpg,True,4
fig_286,fig_286.jpg,fig_286h.jpg,True,10
fig_289,fig_289.jpg,fig_289h.jpg,True,0
fig_290,fig_290.jpg,,False,5
fig_291,fig_291.jpg,fig_291h.jpg,True,0
fig_292,fig_292.jpg,,False,0
fig_293,fig_293.jpg,fig_293h.jpg,True,10
fig_295,fig_295.jpg,fig_295h.jpg,True,5
fig_296,fig_296.jpg,fig_296h.jpg,True,2
fig_298,fig_298.jpg,fig_298h.jpg,True,2
fig_299,fig_299.jpg,fig_299h.jpg,True,2
fig_301,fig_301.jpg,fig_301h.jpg,True,6
fig_302,fig_302.jpg,fig_302h.jpg,True,4
fig_304,fig_304.jpg,fig_304h.jpg,True,7
fig_306,fig_306.jpg,fig_306h.jpg,True,4
fig_307,fig_307.jpg,fig_307h.jpg,True,4
fig_309,fig_309.jpg,fig_309h.jpg,True,9
fig_310,fig_310.jpg,fig_310h.jpg,True,1
fig_314,fig_314.jpg,fig_314h.jpg,True,5
fig_317,fig_317.jpg,fig_317h.jpg,True,3
fig_318,fig_318.jpg,fig_318h.jpg,True,3
fig_320,fig_320.jpg,fig_320h.jpg,True,10
fig_322,fig_322.jpg,fig_322h.jpg,True,2
fig_323,fig_323.jpg,,False,2
fig_324,fig_324.jpg,fig_324h.jpg,True,10
fig_326,fig_326.jpg,fig_326h.jpg,True,4
fig_328,fig_328.jpg,fig_328h.jpg,True,4
fig_330,fig_330.jpg,fig_330h.jpg,True,4
fig_331,fig_331.jpg,fig_331h.jpg,True,3
fig_333,fig_333.jpg,fig_333h.jpg,True,3
fig_336,fig_336.jpg,fig_336h.jpg,True,3
fig_337,fig_337.jpg,fig_337h.jpg,True,2
fig_338,fig_338.jpg,fig_338h.jpg,True,4
fig_339,fig_339.jpg,fig_339h.jpg,True,9
fig_340,fig_340.jpg,,False,2
fig_341,fig_341.jpg,fig_341h.jpg,True,4
fig_342,fig_342.jpg,fig_342h.jpg,True,3
fig_343,fig_343.jpg,fig_343h.jpg,True,8
fig_345,fig_345.jpg,fig_345h.jpg,True,10
fig_346,fig_346.jpg,fig_346h.jpg,True,3
fig_347,fig_347.jpg,,False,4
fig_348,fig_348.jpg,,False,6
fig_349,fig_349.jpg,,False,4
fig_350,fig_350.jpg,fig_350h.jpg,True,4
fig_352,fig_352.jpg,fig_352h.jpg,True,9
fig_354,fig_354.jpg,fig_354h.jpg,True,2
fig_356,fig_356.jpg,fig_356h.jpg,True,2
fig_358,fig_358.jpg,fig_358h.jpg,True,10
fig_360,fig_360.jpg,fig_360h.jpg,True,0
fig_361,fig_361.jpg,fig_361h.jpg,True,0
fig_362,fig_362.jpg,fig_362h.jpg,True,2
fig_363,fig_363.jpg,,False,4
fig_365,fig_365.jpg,fig_365h.jpg,True,7
fig_367,fig_367.jpg,,False,7
fig_369,fig_369.jpg,fig_369h.jpg,True,3
fig_372,fig_372.jpg,fig_372h.jpg,True,5
fig_374,fig_374.jpg,fig_374h.jpg,True,10
fig_376,fig_376.jpg,fig_376h.jpg,True,4
fig_378,fig_378.jpg,fig_378h.jpg,True,4
fig_380,fig_380.jpg,fig_380h.jpg,True,9
fig_382,fig_382.jpg,fig_382h.jpg,True,4
fig_384,fig_384.jpg,fig_384h.jpg,True,3
fig_385,fig_385.jpg,fig_385h.jpg,True,3
fig_386,fig_386.jpg,fig_386h.jpg,True,4
fig_387,fig_387.jpg,,False,5
fig_388,fig_388.jpg,,False,6
fig_389,fig_389.jpg,fig_389h.jpg,True,3
fig_390,fig_390.jpg,fig_390h.jpg,True,6
fig_392,fig_392.jpg,fig_392h.jpg,True,8
